A	A	00:00:00	03:00:00
B	B	00:00:00	00:47:00
B	A	00:48:00	03:48:00
C	C	00:00:00	00:21:00
C	B	00:22:00	01:09:00
C	A	01:10:00	04:10:00
D	D	00:00:00	00:08:00
D	C	00:09:00	00:30:00
D	B	00:31:00	01:18:00
D	A	01:19:00	04:19:00
E	E	00:00:00	00:07:00
E	D	00:08:00	00:16:00
E	C	00:17:00	00:38:00
E	B	00:39:00	01:27:00
E	A	01:28:00	04:28:00
F	F	00:07:00	00:07:00
F	E	00:08:00	00:15:00
F	D	00:16:00	00:24:00
F	C	00:25:00	00:46:00
F	B	00:47:00	01:34:00
F	A	01:35:00	04:35:00
G	G	00:00:00	00:06:00
G	F	00:07:00	00:13:00
G	E	00:14:00	00:22:00
G	D	00:23:00	00:31:00
G	C	00:32:00	00:53:00
G	B	00:54:00	01:41:00
G	A	01:42:00	04:42:00
H	H	00:00:00	00:05:00
H	G	00:06:00	00:12:00
H	F	00:13:00	00:20:00
H	E	00:21:00	00:28:00
H	D	00:29:00	00:37:00
H	C	00:38:00	00:59:00
H	B	01:00:00	01:47:00
H	A	01:48:00	04:48:00
I	I	00:00:00	00:05:00
I	H	00:06:00	00:11:00
I	G	00:12:00	00:18:00
I	F	00:19:00	00:26:00
I	E	00:27:00	00:34:00
I	D	00:35:00	00:43:00
I	C	00:44:00	01:05:00
I	B	01:06:00	01:53:00
I	A	01:54:00	04:54:00
J	J	00:00:00	00:05:00
J	I	00:06:00	00:11:00
J	H	00:12:00	00:17:00
J	G	00:18:00	00:24:00
J	F	00:25:00	00:31:00
J	E	00:32:00	00:40:00
J	D	00:41:00	00:49:00
J	C	00:50:00	01:11:00
J	B	01:12:00	01:59:00
J	A	02:00:00	05:00:00
K	K	00:00:00	00:04:00
K	J	00:05:00	00:10:00
K	I	00:11:00	00:16:00
K	H	00:17:00	00:22:00
K	G	00:23:00	00:29:00
K	F	00:30:00	00:37:00
K	E	00:38:00	00:45:00
K	D	00:46:00	00:54:00
K	C	00:55:00	01:16:00
K	B	01:17:00	02:04:00
K	A	02:05:00	05:05:00
L	L	00:00:00	00:04:00
L	K	00:05:00	00:09:00
L	J	00:10:00	00:15:00
L	I	00:16:00	00:21:00
L	H	00:22:00	00:27:00
L	G	00:28:00	00:34:00
L	F	00:35:00	00:42:00
L	E	00:43:00	00:50:00
L	D	00:51:00	00:59:00
L	C	01:00:00	01:21:00
L	B	01:22:00	02:09:00
L	A	02:10:00	05:10:00
M	M	00:00:00	00:04:00
M	L	00:05:00	00:09:00
M	K	00:10:00	00:14:00
M	J	00:15:00	00:19:00
M	I	00:20:00	00:25:00
M	H	00:26:00	00:32:00
M	G	00:33:00	00:39:00
M	F	00:40:00	00:46:00
M	E	00:47:00	00:55:00
M	D	00:56:00	01:04:00
M	C	01:05:00	01:25:00
M	B	01:26:00	02:14:00
M	A	02:15:00	05:15:00
N	N	00:00:00	00:03:00
N	M	00:04:00	00:08:00
N	L	00:09:00	00:13:00
N	K	00:14:00	00:18:00
N	J	00:19:00	00:24:00
N	I	00:25:00	00:30:00
N	H	00:31:00	00:36:00
N	G	00:37:00	00:43:00
N	F	00:44:00	00:51:00
N	E	00:52:00	00:59:00
N	D	01:00:00	01:08:00
N	C	01:09:00	01:30:00
N	B	01:31:00	02:18:00
N	A	02:19:00	05:19:00
O	O	00:00:00	00:03:00
O	N	00:04:00	00:08:00
O	M	00:09:00	00:12:00
O	L	00:13:00	00:17:00
O	K	00:18:00	00:23:00
O	J	00:24:00	00:28:00
O	I	00:29:00	00:34:00
O	H	00:35:00	00:41:00
O	G	00:42:00	00:47:00
O	F	00:48:00	00:55:00
O	E	00:56:00	01:03:00
O	D	01:04:00	01:12:00
O	C	01:13:00	01:34:00
O	B	01:35:00	02:23:00
O	A	02:24:00	05:24:00
P	P	00:00:00	00:03:00
P	O	00:04:00	00:07:00
P	N	00:08:00	00:12:00
P	M	00:13:00	00:16:00
P	L	00:17:00	00:21:00
P	K	00:22:00	00:27:00
P	J	00:28:00	00:32:00
P	I	00:33:00	00:38:00
P	H	00:39:00	00:45:00
P	G	00:45:00	00:51:00
P	F	00:52:00	00:59:00
P	E	01:00:00	01:07:00
P	D	01:08:00	01:16:00
P	C	01:17:00	01:38:00
P	B	01:39:00	02:27:00
P	A	02:28:00	05:28:00
Q	Q	00:00:00	00:03:00
Q	P	00:04:00	00:07:00
Q	O	00:08:00	00:11:00
Q	N	00:12:00	00:16:00
Q	M	00:17:00	00:20:00
Q	L	00:21:00	00:25:00
Q	K	00:26:00	00:30:00
Q	J	00:31:00	00:36:00
Q	I	00:37:00	00:42:00
Q	H	00:43:00	00:48:00
Q	G	00:49:00	00:55:00
Q	F	00:56:00	01:03:00
Q	E	01:04:00	01:11:00
Q	D	01:12:00	01:20:00
Q	C	01:21:00	01:42:00
Q	B	01:43:00	02:30:00
Q	A	02:31:00	05:31:00
R	R	00:00:00	00:03:00
R	Q	00:04:00	00:07:00
R	P	00:08:00	00:11:00
R	O	00:12:00	00:15:00
R	N	00:16:00	00:19:00
R	M	00:20:00	00:24:00
R	L	00:25:00	00:29:00
R	K	00:30:00	00:34:00
R	J	00:35:00	00:40:00
R	I	00:41:00	00:46:00
R	H	00:47:00	00:52:00
R	G	00:53:00	00:59:00
R	F	01:00:00	01:07:00
R	E	01:08:00	01:15:00
R	D	01:16:00	01:24:00
R	C	01:25:00	01:46:00
R	B	01:47:00	02:34:00
R	A	02:35:00	05:35:00
S	S	00:00:00	00:03:00
S	R	00:04:00	00:06:00
S	Q	00:07:00	00:10:00
S	P	00:11:00	00:14:00
S	O	00:15:00	00:18:00
S	N	00:19:00	00:23:00
S	M	00:24:00	00:27:00
S	L	00:28:00	00:32:00
S	K	00:33:00	00:38:00
S	J	00:39:00	00:43:00
S	I	00:44:00	00:49:00
S	H	00:50:00	00:56:00
S	G	00:57:00	01:03:00
S	F	01:04:00	01:10:00
S	E	01:11:00	01:18:00
S	D	01:19:00	01:27:00
S	C	01:28:00	01:49:00
S	B	01:50:00	02:38:00
S	A	02:39:00	05:39:00
T	T	00:00:00	00:02:00
T	S	00:03:00	00:06:00
T	R	00:07:00	00:10:00
T	Q	00:11:00	00:13:00
T	P	00:14:00	00:17:00
T	O	00:18:00	00:22:00
T	N	00:23:00	00:26:00
T	M	00:27:00	00:31:00
T	L	00:32:00	00:36:00
T	K	00:37:00	00:41:00
T	J	00:42:00	00:47:00
T	I	00:48:00	00:53:00
T	H	00:54:00	00:59:00
T	G	01:00:00	01:06:00
T	F	01:07:00	01:13:00
T	E	01:14:00	01:22:00
T	D	01:23:00	01:31:00
T	C	01:32:00	01:53:00
T	B	01:54:00	02:41:00
T	A	02:42:00	05:42:00
U	U	00:00:00	00:02:00
U	T	00:03:00	00:06:00
U	S	00:07:00	00:09:00
U	R	00:10:00	00:13:00
U	Q	00:14:00	00:17:00
U	P	00:18:00	00:21:00
U	O	00:22:00	00:25:00
U	N	00:26:00	00:29:00
U	M	00:30:00	00:34:00
U	L	00:35:00	00:39:00
U	K	00:40:00	00:44:00
U	J	00:45:00	00:50:00
U	I	00:51:00	00:56:00
U	H	00:57:00	01:02:00
U	G	01:03:00	01:09:00
U	F	01:10:00	01:17:00
U	E	01:18:00	01:25:00
U	D	01:26:00	01:34:00
U	C	01:35:00	01:56:00
U	B	01:57:00	02:44:00
U	A	02:45:00	05:45:00
V	V	00:00:00	00:02:00
V	U	00:03:00	00:05:00
V	T	00:06:00	00:09:00
V	S	00:10:00	00:12:00
V	R	00:13:00	00:16:00
V	Q	00:17:00	00:20:00
V	P	00:21:00	00:24:00
V	O	00:25:00	00:28:00
V	N	00:29:00	00:33:00
V	M	00:34:00	00:37:00
V	L	00:38:00	00:42:00
V	K	00:43:00	00:47:00
V	J	00:48:00	00:53:00
V	I	00:54:00	00:59:00
V	H	01:00:00	01:05:00
V	G	01:06:00	01:12:00
V	F	01:13:00	01:20:00
V	E	01:21:00	01:28:00
V	D	01:29:00	01:37:00
V	C	01:38:00	01:59:00
V	B	02:00:00	02:47:00
V	A	02:48:00	05:48:00
W	W	00:00:00	00:02:00
W	V	00:03:00	00:05:00
W	U	00:06:00	00:08:00
W	T	00:09:00	00:12:00
W	S	00:13:00	00:15:00
W	R	00:16:00	00:19:00
W	Q	00:20:00	00:23:00
W	P	00:24:00	00:27:00
W	O	00:28:00	00:31:00
W	N	00:32:00	00:36:00
W	M	00:37:00	00:40:00
W	L	00:41:00	00:45:00
W	K	00:46:00	00:50:00
W	J	00:51:00	00:56:00
W	I	00:57:00	01:02:00
W	H	01:03:00	01:08:00
W	G	01:09:00	01:15:00
